date,firm,Ticker,Research_Development,Income_Before_Tax,Net_Income,Selling_General_Administrative,Gross_Profit,Ebit,Operating_Income,Interest_Expense,Income_Tax_Expense,Total_Revenue,Total_Operating_Expenses,Cost_Of_Revenue,Total_Other_Income_Expense_Net,Net_Income_From_Continuing_Ops,Net_Income_Applicable_To_Common_Shares
2021-09-30,3M,MMM,482000000,1761000000,1434000000,1739000000,4089000000,1868000000,1868000000,-117000000,324000000,8942000000,7074000000,4853000000,-107000000,1437000000,1434000000
2021-06-30,3M,MMM,514000000,1940000000,1524000000,1666000000,4231000000,2051000000,2051000000,-121000000,415000000,8950000000,6899000000,4719000000,-111000000,1525000000,1524000000
2021-03-31,3M,MMM,520000000,1946000000,1624000000,1720000000,4327000000,2087000000,2087000000,-132000000,319000000,8851000000,6764000000,4524000000,-141000000,1627000000,1624000000
2020-12-31,3M,MMM,449000000,1706000000,1389000000,1814000000,4246000000,1983000000,1983000000,-141000000,316000000,8583000000,6600000000,4337000000,-277000000,1390000000,1389000000
2021-09-30,3M,MMM,482000000,1761000000,1434000000,1739000000,4089000000,1868000000,1868000000,-117000000,324000000,8942000000,7074000000,4853000000,-107000000,1437000000,1434000000
2021-06-30,3M,MMM,514000000,1940000000,1524000000,1666000000,4231000000,2051000000,2051000000,-121000000,415000000,8950000000,6899000000,4719000000,-111000000,1525000000,1524000000
2021-03-31,3M,MMM,520000000,1946000000,1624000000,1720000000,4327000000,2087000000,2087000000,-132000000,319000000,8851000000,6764000000,4524000000,-141000000,1627000000,1624000000
2020-12-31,3M,MMM,449000000,1706000000,1389000000,1814000000,4246000000,1983000000,1983000000,-141000000,316000000,8583000000,6600000000,4337000000,-277000000,1390000000,1389000000
2021-09-30,"A. O. Smith",AOS,0,166400000,131600000,174300000,340300000,166000000,166000000,-1000000,34800000,914600000,748600000,574300000,400000,131600000,131600000
2021-06-30,"A. O. Smith",AOS,0,151300000,118200000,169800000,321400000,151600000,151600000,-900000,33100000,859800000,708200000,538400000,-300000,118200000,118200000
2021-03-31,"A. O. Smith",AOS,0,126100000,97700000,166500000,288600000,122100000,122100000,-1000000,28400000,769000000,646900000,480400000,4000000,97700000,97700000
2020-12-31,"A. O. Smith",AOS,0,151900000,120000000,184700000,324100000,139400000,139400000,-1000000,31900000,834500000,695100000,510400000,12500000,120000000,120000000
2021-09-30,Abiomed,ABMD,41041000,67271000,56953000,102779000,204256000,60436000,60436000,0,10318000,248142000,187706000,43886000,6835000,56953000,56953000
2021-06-30,Abiomed,ABMD,36837000,-9350000,-26525000,103484000,207397000,67076000,67076000,0,17175000,252585000,185509000,45188000,-76426000,-26525000,-26525000
